stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,support_policy,support_point_id,support_keys,delta_support_process_family,delta_support_process_repeats,target_line_referee_usage,roihu_partition_note
fsl_target_spanning_factorial_x150_s133_138_20260713_n6_d1_dep4_md704_it216_s134_rg0,source_delta_support_process_control,canonical,4,72,64,704,134,216,113246208,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n6-d1-dep4-md704-it216-s134-rg0,6,1,target_spanning_support_readout_factorial,4,113246208,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,46858504,46858504.0,0.0,,26,target_spanning_5p_plus_control_5x5,,1.305337,0,216,113246208,1.0,physical_sparse_union,6:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n6_d2_dep4_md704_it324_s134_rg0,source_delta_support_process_control,canonical,4,72,64,704,134,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n6-d2-dep4-md704-it324-s134-rg0,6,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,46858504,46858504.0,0.0,,27,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,6:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n6_d3_dep4_md704_it486_s134_rg0,source_delta_support_process_control,canonical,4,72,64,704,134,486,254803968,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n6-d3-dep4-md704-it486-s134-rg0,6,3,target_spanning_support_readout_factorial,4,254803968,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,46858504,46858504.0,0.0,,28,target_spanning_5p_plus_control_5x5,,1.305337,0,486,254803968,1.0,physical_sparse_union,6:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n6_d4_dep4_md704_it729_s134_rg0,source_delta_support_process_control,canonical,4,72,64,704,134,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n6-d4-dep4-md704-it729-s134-rg0,6,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,46858504,46858504.0,0.0,,29,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,6:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n7_d2_dep4_md1152_it324_s134_rg0,source_delta_support_process_control,canonical,4,72,64,1152,134,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n7-d2-dep4-md1152-it324-s134-rg0,7,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,101450160,101450160.0,0.0,,30,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,7:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n0_d0_dep4_md128_it144_s135_rg0,source_delta_support_process_control,canonical,4,72,64,128,135,144,75497472,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n0-d0-dep4-md128-it144-s135-rg0,0,0,target_spanning_support_readout_factorial,4,75497472,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,4980784,4980784.0,0.0,,1,target_spanning_5p_plus_control_5x5,,1.305337,0,144,75497472,1.0,physical_sparse_union,0:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n0_d1_dep4_md128_it216_s135_rg0,source_delta_support_process_control,canonical,4,72,64,128,135,216,113246208,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n0-d1-dep4-md128-it216-s135-rg0,0,1,target_spanning_support_readout_factorial,4,113246208,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,4980784,4980784.0,0.0,,2,target_spanning_5p_plus_control_5x5,,1.305337,0,216,113246208,1.0,physical_sparse_union,0:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n0_d2_dep4_md128_it324_s135_rg0,source_delta_support_process_control,canonical,4,72,64,128,135,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n0-d2-dep4-md128-it324-s135-rg0,0,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,4980784,4980784.0,0.0,,3,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,0:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n0_d3_dep4_md128_it486_s135_rg0,source_delta_support_process_control,canonical,4,72,64,128,135,486,254803968,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n0-d3-dep4-md128-it486-s135-rg0,0,3,target_spanning_support_readout_factorial,4,254803968,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,4980784,4980784.0,0.0,,4,target_spanning_5p_plus_control_5x5,,1.305337,0,486,254803968,1.0,physical_sparse_union,0:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n0_d4_dep4_md128_it729_s135_rg0,source_delta_support_process_control,canonical,4,72,64,128,135,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n0-d4-dep4-md128-it729-s135-rg0,0,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,4980784,4980784.0,0.0,,5,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,0:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n1_d0_dep4_md192_it144_s135_rg0,source_delta_support_process_control,canonical,4,72,64,192,135,144,75497472,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n1-d0-dep4-md192-it144-s135-rg0,1,0,target_spanning_support_readout_factorial,4,75497472,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,8061000,8061000.0,0.0,,6,target_spanning_5p_plus_control_5x5,,1.305337,0,144,75497472,1.0,physical_sparse_union,1:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n1_d1_dep4_md192_it216_s135_rg0,source_delta_support_process_control,canonical,4,72,64,192,135,216,113246208,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n1-d1-dep4-md192-it216-s135-rg0,1,1,target_spanning_support_readout_factorial,4,113246208,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,8061000,8061000.0,0.0,,7,target_spanning_5p_plus_control_5x5,,1.305337,0,216,113246208,1.0,physical_sparse_union,1:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n1_d2_dep4_md192_it324_s135_rg0,source_delta_support_process_control,canonical,4,72,64,192,135,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n1-d2-dep4-md192-it324-s135-rg0,1,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,8061000,8061000.0,0.0,,8,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,1:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n1_d3_dep4_md192_it486_s135_rg0,source_delta_support_process_control,canonical,4,72,64,192,135,486,254803968,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n1-d3-dep4-md192-it486-s135-rg0,1,3,target_spanning_support_readout_factorial,4,254803968,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,8061000,8061000.0,0.0,,9,target_spanning_5p_plus_control_5x5,,1.305337,0,486,254803968,1.0,physical_sparse_union,1:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n1_d4_dep4_md192_it729_s135_rg0,source_delta_support_process_control,canonical,4,72,64,192,135,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n1-d4-dep4-md192-it729-s135-rg0,1,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,8061000,8061000.0,0.0,,10,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,1:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n2_d2_dep4_md256_it324_s135_rg0,source_delta_support_process_control,canonical,4,72,64,256,135,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n2-d2-dep4-md256-it324-s135-rg0,2,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,11534432,11534432.0,0.0,,11,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,2:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n2_d4_dep4_md256_it729_s135_rg0,source_delta_support_process_control,canonical,4,72,64,256,135,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n2-d4-dep4-md256-it729-s135-rg0,2,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,11534432,11534432.0,0.0,,12,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,2:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n2_d5_dep4_md256_it1640_s135_rg0,source_delta_support_process_control,canonical,4,72,64,256,135,1640,859832320,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n2-d5-dep4-md256-it1640-s135-rg0,2,5,target_spanning_support_readout_factorial,4,859832320,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,11534432,11534432.0,0.0,,13,target_spanning_5p_plus_control_5x5,,1.305337,0,1640,859832320,1.0,physical_sparse_union,2:5,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n3_d0_dep4_md320_it144_s135_rg0,source_delta_support_process_control,canonical,4,72,64,320,135,144,75497472,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n3-d0-dep4-md320-it144-s135-rg0,3,0,target_spanning_support_readout_factorial,4,75497472,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,15401080,15401080.0,0.0,,14,target_spanning_5p_plus_control_5x5,,1.305337,0,144,75497472,1.0,physical_sparse_union,3:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n3_d1_dep4_md320_it216_s135_rg0,source_delta_support_process_control,canonical,4,72,64,320,135,216,113246208,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n3-d1-dep4-md320-it216-s135-rg0,3,1,target_spanning_support_readout_factorial,4,113246208,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,15401080,15401080.0,0.0,,15,target_spanning_5p_plus_control_5x5,,1.305337,0,216,113246208,1.0,physical_sparse_union,3:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n3_d2_dep4_md320_it324_s135_rg0,source_delta_support_process_control,canonical,4,72,64,320,135,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n3-d2-dep4-md320-it324-s135-rg0,3,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,15401080,15401080.0,0.0,,16,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,3:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n3_d3_dep4_md320_it486_s135_rg0,source_delta_support_process_control,canonical,4,72,64,320,135,486,254803968,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n3-d3-dep4-md320-it486-s135-rg0,3,3,target_spanning_support_readout_factorial,4,254803968,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,15401080,15401080.0,0.0,,17,target_spanning_5p_plus_control_5x5,,1.305337,0,486,254803968,1.0,physical_sparse_union,3:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n3_d4_dep4_md320_it729_s135_rg0,source_delta_support_process_control,canonical,4,72,64,320,135,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n3-d4-dep4-md320-it729-s135-rg0,3,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,15401080,15401080.0,0.0,,18,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,3:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n4_d0_dep4_md512_it144_s135_rg0,source_delta_support_process_control,canonical,4,72,64,512,135,144,75497472,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n4-d0-dep4-md512-it144-s135-rg0,4,0,target_spanning_support_readout_factorial,4,75497472,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,29360320,29360320.0,0.0,,19,target_spanning_5p_plus_control_5x5,,1.305337,0,144,75497472,1.0,physical_sparse_union,4:0,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n4_d1_dep4_md512_it216_s135_rg0,source_delta_support_process_control,canonical,4,72,64,512,135,216,113246208,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n4-d1-dep4-md512-it216-s135-rg0,4,1,target_spanning_support_readout_factorial,4,113246208,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,29360320,29360320.0,0.0,,20,target_spanning_5p_plus_control_5x5,,1.305337,0,216,113246208,1.0,physical_sparse_union,4:1,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n4_d2_dep4_md512_it324_s135_rg0,source_delta_support_process_control,canonical,4,72,64,512,135,324,169869312,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n4-d2-dep4-md512-it324-s135-rg0,4,2,target_spanning_support_readout_factorial,4,169869312,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,29360320,29360320.0,0.0,,21,target_spanning_5p_plus_control_5x5,,1.305337,0,324,169869312,1.0,physical_sparse_union,4:2,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n4_d3_dep4_md512_it486_s135_rg0,source_delta_support_process_control,canonical,4,72,64,512,135,486,254803968,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n4-d3-dep4-md512-it486-s135-rg0,4,3,target_spanning_support_readout_factorial,4,254803968,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,29360320,29360320.0,0.0,,22,target_spanning_5p_plus_control_5x5,,1.305337,0,486,254803968,1.0,physical_sparse_union,4:3,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
fsl_target_spanning_factorial_x150_s133_138_20260713_n4_d4_dep4_md512_it729_s135_rg0,source_delta_support_process_control,canonical,4,72,64,512,135,729,382205952,524288,16,2048,40,1,L,fsl-target-spanning-factorial-x150-s133-138-20260713-n4-d4-dep4-md512-it729-s135-rg0,4,4,target_spanning_support_readout_factorial,4,382205952,524288,Fresh target-spanning five-point source support plus a 5x5 control grid. The measured target line is evaluation-only.,controlled_model_dim_target_spanning_sparse_union,29360320,29360320.0,0.0,,23,target_spanning_5p_plus_control_5x5,,1.305337,0,729,382205952,1.0,physical_sparse_union,4:4,0:0;0:1;0:2;0:3;0:4;1:0;1:1;1:2;1:3;1:4;2:2;2:4;2:5;3:0;3:1;3:2;3:3;3:4;4:0;4:1;4:2;4:3;4:4;5:2;6:0;6:1;6:2;6:3;6:4;7:2,prospective_target_spanning_5p_factorial_x150,paired_train_seed,held_out_evaluation_only,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
